React (https://github.com/facebook/react/issues),,,,,,,
#11898,Deprecate and remove function argument in Ember.assert/deprecate/etc,https://github.com/emberjs/ember.js/issues/11898,Good for New Contributors,x,x,x,x
#17018,Cannot pass hash helper to link-to (EmptyObject lacking hasOwnProperty),https://github.com/emberjs/ember.js/issues/17018,"Bug, Good for New Contributors",x,x,,x
#15056,queryParams not working if the locationType is set to hash,https://github.com/emberjs/ember.js/issues/15056,"Good for New Contributors, Has Reproduction, Inactive, Needs Submitter Response, Query Params",x,x,,x
#13176,Confusing error when using Ember.computed.or incorrectly,https://github.com/emberjs/ember.js/issues/13176,"Bug, Documentation, Good for New Contributors, Has Reproduction",x,x,,x
#9352,bower vs package.json,https://github.com/emberjs/ember.js/issues/9352,"Bug, Good for New Contributors, Needs Label Review",x,x,x,
#19134,App booted before DOM ready without jQuery,https://github.com/emberjs/ember.js/issues/19134,"Bug, Good for New Contributors, Help Wanted",x,x,x,
#4921,"Ember.Array methods don't return an Ember.Array, causing chaining to throw when EmberENV.EXTEND_PROTOTYPES is false.",https://github.com/emberjs/ember.js/issues/4921,"Bug, Good for New Contributors",x,x,,x
#4275,Remove the implicit error/loading routes from the list of routes in link-to assertion,https://github.com/emberjs/ember.js/issues/4275,"Bug, Good for New Contributors",x,x,,
#14974,Ember.instrument misses compilation/lookup phase.,https://github.com/emberjs/ember.js/issues/14974,Good for New Contributors,x,x,x,
,,,,,,,
,,,,,,,
Yarn(https://github.com/yarnpkg/yarn),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#5733,Cannot force color output when stdout is not a tty,https://github.com/yarnpkg/yarn/issues/5733,"cat-feature, good first issue",x,x,x,x
#5543,yarn does not respect npm globalconfig,https://github.com/yarnpkg/yarn/issues/5543,"cat-compatibility, good first issue, triaged",x,x,x,x
#5292,Yarn installs package without version and creates breaking error,https://github.com/yarnpkg/yarn/issues/5292,"cat-bug, good first issue, help wanted, triaged",x,x,x,x
#5077,"Couldn't find match for ""Identity""",https://github.com/yarnpkg/yarn/issues/5077,cat-bug good first issue help wanted triaged,x,x,x,x
#4971,yarn add in workspace adds to dependencies when it should update devDependencies,https://github.com/yarnpkg/yarn/issues/4971,"cat-bug, fixed-in-v2, good first issue, triaged",x,x,x,x
